Abbotswood | Potentilla fruticosa 'Abbotswood' | Shrub | Potentilla
Madame Lemoine | Syringa vulgaris 'Madame Lemoine' | Shrub | Lilac
Magenta Four O'Clock | Mirabilis jalapa | Annual | Four O'Clock
Magenta Geranium | Pelargonium 'Magenta' | Annual | Geraniums
Magenta Gladiolus | Gladiolus | Bulb | Gladiolus
Magenta Portulaca | Portulaca grandiflora | Annual | Portulaca
Magenta Ranunculus | Ranunculus asiaticus | Bulb | Ranunculus
Magenta Tropical Hibiscus | Hibiscus rosa-sinensis | Shrub | Tropical Hibiscus
Magenta Verbena | Verbena × hybrida | Annual | Verbena
Magenta Zinnia | Zinnia elegans 'Magenta' | Annual | Zinnias
Magic Carpet | Spiraea japonica 'Magic Carpet' | Shrub | Spirea
Magic Fountains Cherry Blossom | Delphinium 'Magic Fountains Cherry Blossom' | Perennial | Delphinium
Magic Fountains Dark Blue | Delphinium 'Magic Fountains Dark Blue' | Perennial | Delphinium
Magical Gold | Forsythia × intermedia 'Kolgold' | Shrub | Forsythia
Magnet | Galanthus 'Magnet' | Bulb | Snowdrop
Magnus | Echinacea purpurea 'Magnus' | Perennial | Coneflowers
Mahogany Nasturtium | Tropaeolum majus 'Mahogany' | Annual | Nasturtium
Maiden Grass | Miscanthus sinensis | Grass | Maiden Grass
Maiden Pink | Dianthus deltoides | Perennial | Dianthus
Maidenhair Fern | Adiantum | Fern | 
Major Wheeler | Lonicera sempervirens 'Major Wheeler' | Climber | Honeysuckle
Mammoth | Helianthus annuus 'Mammoth' | Annual | Sunflower
Mandevilla | Mandevilla | Climber | Mandevilla
Mango Calla | Zantedeschia 'Mango' | Bulb | Calla Lily
Mango Tango | Potentilla fruticosa 'Mango Tango' | Shrub | Potentilla
Manhattan Lights | Lupinus 'Manhattan Lights' | Perennial | Lupine
Marbles | Mirabilis jalapa 'Marbles' | Annual | Four O'Clock
Margarita | Ipomoea batatas 'Margarita' | Annual | Sweet Potato Vine
Marguerite Daisy | Argyranthemum | Annual | Marguerite Daisy
Marie Boisselot | Clematis 'Marie Boisselot' | Climber | Clematis
Marigold | Tagetes | Annual | Marigolds
Marinka | Fuchsia 'Marinka' | Annual | Fuchsia
Marmalade | Echinacea 'Marmalade' | Perennial | Coneflowers
Marmalade | Heuchera 'Marmalade' | Perennial | Coral Bells
Marshall's Delight | Monarda 'Marshall's Delight' | Perennial | Bee Balm
Mary Stoker | Chrysanthemum 'Mary Stoker' | Perennial | Chrysanthemums
Masterpiece | Lupinus 'Masterpiece' | Perennial | Lupine
Matrona | Hylotelephium 'Matrona' | Perennial | Sedum
Max Frei | Geranium sanguineum 'Max Frei' | Perennial | Hardy Geranium
May Night | Salvia nemorosa 'Mainacht' | Perennial | Salvia
McKay's White | Potentilla fruticosa 'McKay's White' | Shrub | Potentilla
Meadow Rue | Thalictrum | Perennial | 
Melting Fire | Heuchera 'Melting Fire' | Perennial | Coral Bells
Mercury Rising | Coreopsis 'Mercury Rising' | Perennial | Coreopsis
Mesa Yellow | Gaillardia × grandiflora 'Mesa Yellow' | Perennial | Blanket Flower
Mexican Heather | Cuphea hyssopifolia | Annual | Cuphea
Midnight Blue | Agapanthus 'Midnight Blue' | Bulb | Agapanthus
Midnight Marvel | Hibiscus 'Midnight Marvel' | Perennial | Hardy Hibiscus
Midnight Rose | Heuchera 'Midnight Rose' | Perennial | Coral Bells
Mikado | Eschscholzia californica 'Mikado' | Annual | California Poppy
Milky Way Kousa | Cornus kousa 'Milky Way' | Tree | Dogwood
Millenium | Allium 'Millenium' | Bulb | Allium
Minerva | Hibiscus syriacus 'Minerva' | Shrub | Rose of Sharon
Minerva | Hippeastrum 'Minerva' | Bulb | Amaryllis
Miniature Snowflake | Philadelphus 'Miniature Snowflake' | Shrub | Mock Orange
Mint | Mentha | Herb | 
Minuet | Weigela florida 'Minuet' | Shrub | Weigela
Minuteman | Hosta 'Minuteman' | Perennial | Hostas
Miss Huff | Lantana camara 'Miss Huff' | Annual | Lantana
Miss Kim | Syringa pubescens 'Miss Kim' | Shrub | Lilac
Miss Molly | Buddleia 'Miss Molly' | Shrub | Butterfly Bush
Miss Ruby | Buddleia 'Miss Ruby' | Shrub | Butterfly Bush
Miss Saigon | Hyacinthus 'Miss Saigon' | Bulb | Hyacinth
Mister Lincoln | Rosa 'Mister Lincoln' | Rose | Hybrid Tea & Grandiflora Roses
Miyako Rose | Rosa 'Miyako' | Rose | 
Mock Orange | Philadelphus | Shrub | Mock Orange
Mojito | Colocasia esculenta 'Mojito' | Bulb | Elephant Ear
Molineux | Rosa 'Ausmol' | Rose | English (David Austin) Roses
Monkshood | Aconitum | Perennial | 
Monsieur Jules Elie | Paeonia 'Monsieur Jules Elie' | Perennial | Peonies
Monte Carlo | Tulipa 'Monte Carlo' | Bulb | Tulips
Montgomery | Astilbe japonica 'Montgomery' | Perennial | Astilbe
Montgomery | Picea pungens 'Montgomery' | Conifer | Spruce
Moonbeam | Coreopsis verticillata 'Moonbeam' | Perennial | Coreopsis
Moonflower | Ipomoea alba | Climber | 
Moonshine | Achillea 'Moonshine' | Perennial | Yarrow
Morning Glory | Ipomoea | Climber | Morning Glory
Morning Light | Miscanthus sinensis 'Morning Light' | Grass | Maiden Grass
Moudry (Black Fountain Grass) | Pennisetum alopecuroides 'Moudry' | Grass | Fountain Grass
Moulin Rouge | Helianthus annuus 'Moulin Rouge' | Annual | Sunflower
Mount Everest | Allium stipitatum 'Mount Everest' | Bulb | Allium
Mount Fuji Cherry | Prunus serrulata 'Shirotae' | Tree | Flowering Cherry
Mount Hood | Narcissus 'Mount Hood' | Bulb | Daffodils
Mountain Frost Ruby | Dianthus 'Mountain Frost Ruby Snow' | Perennial | Dianthus
Mr. Fokker | Anemone coronaria 'Mr. Fokker' | Bulb | Anemone
Mr. Goodbud | Hylotelephium 'Mr. Goodbud' | Perennial | Sedum
Mt. Everest | Anemone coronaria 'Mt. Everest' | Bulb | Anemone
Mugo Pine | Pinus mugo | Conifer | Pine
Mullein | Verbascum | Perennial | 
Multi Blue | Clematis 'Multi Blue' | Climber | Clematis
Munstead | Lavandula angustifolia 'Munstead' | Herb | Lavender
Munstead Wood | Rosa 'Ausbernard' | Rose | English (David Austin) Roses
Muskogee | Lagerstroemia 'Muskogee' | Shrub | Crape Myrtle
My Castle | Lupinus 'My Castle' | Perennial | Lupine
My Monet | Weigela florida 'My Monet' | Shrub | Weigela
Nagoya Red Kale | Brassica oleracea 'Nagoya Red' | Annual | Ornamental Kale
Nana Alba | Lavandula angustifolia 'Nana Alba' | Herb | Lavender
Nanho Blue | Buddleia davidii 'Nanho Blue' | Shrub | Butterfly Bush
Nasturtium | Tropaeolum | Annual | Nasturtium
Natchez | Lagerstroemia 'Natchez' | Shrub | Crape Myrtle
Natchez | Philadelphus × virginalis 'Natchez' | Shrub | Mock Orange
Negrita | Tulipa 'Negrita' | Bulb | Tulips
Nelly Moser | Clematis 'Nelly Moser' | Climber | Clematis
Neon Flash | Spiraea japonica 'Neon Flash' | Shrub | Spirea
Neon Sedum | Hylotelephium spectabile 'Neon' | Perennial | Sedum
Neon Star | Dianthus 'Neon Star' | Perennial | Dianthus
New Dawn | Rosa 'New Dawn' | Rose | Climbing Roses
New England Aster | Symphyotrichum novae-angliae | Perennial | 
New England Aster 'Barr's Pink' | Symphyotrichum novae-angliae 'Barr's Pink' | Perennial | 
New England Aster 'Harrington's Pink' | Symphyotrichum novae-angliae 'Harrington's Pink' | Perennial | 
New Gold | Lantana camara 'New Gold' | Annual | Lantana
New Guinea Orange | Impatiens hawkeri | Annual | Impatiens
New Guinea Red | Impatiens hawkeri | Annual | Impatiens
New Hampshire Purple | Geranium sanguineum 'New Hampshire Purple' | Perennial | Hardy Geranium
Nicky | Phlox paniculata 'Nicky' | Perennial | Garden Phlox
Night Sky | Petunia 'Night Sky' | Annual | Petunias
Nigra | Alcea rosea 'Nigra' | Perennial | Hollyhock
Ninebark | Physocarpus opulifolius | Shrub | Ninebark
Niobe | Clematis 'Niobe' | Climber | Clematis
Noble Maiden | Lupinus 'Noble Maiden' | Perennial | Lupine
Nonstop Red Begonia | Begonia × tuberhybrida 'Nonstop Red' | Annual | Tuberous Begonia
Nonstop Rose | Begonia 'Nonstop Rose' | Annual | Begonia
Nora Barlow | Aquilegia vulgaris 'Nora Barlow' | Perennial | Columbine
Northern Gold | Forsythia 'Northern Gold' | Shrub | Forsythia
Northern Sea Oats | Chasmanthium latifolium | Grass | Northern Sea Oats
Northwind | Panicum virgatum 'Northwind' | Grass | Switchgrass
Norway Spruce | Picea abies | Conifer | Spruce
Nova Zembla | Rhododendron 'Nova Zembla' | Shrub | Rhododendrons
Nuccio's Pearl | Camellia japonica 'Nuccio's Pearl' | Shrub | Camellia
Nugget | Physocarpus opulifolius 'Nugget' | Shrub | Ninebark
Oakleaf Hydrangea | Hydrangea quercifolia | Shrub | Hydrangeas
Obedient Plant | Physostegia | Perennial | 
Obsidian | Heuchera 'Obsidian' | Perennial | Coral Bells
October Skies | Symphyotrichum oblongifolium 'October Skies' | Perennial | Aster
Okame Cherry | Prunus 'Okame' | Tree | Flowering Cherry
Oklahoma Redbud | Cercis canadensis var. texensis 'Oklahoma' | Tree | Redbud
Olivia Rose Austin | Rosa 'Ausmixture' | Rose | English (David Austin) Roses
Onyx Odyssey | Helleborus × hybridus 'Onyx Odyssey' | Perennial | Hellebore
Orange African Daisy | Osteospermum 'Orange Symphony' | Annual | African Daisy
Orange Coneflower | Echinacea 'Harvest Moon' | Perennial | 
Orange Dream | Acer palmatum 'Orange Dream' | Tree | Japanese Maple
Orange Emperor | Tulipa 'Orange Emperor' | Bulb | Tulips
Orange Freesia | Freesia 'Orange' | Bulb | Freesia
Orange Marigold | Tagetes 'Orange' | Annual | Marigolds
Orange Pansy | Viola wittrockiana 'Orange' | Annual | Pansies & Violas
Orange Perfection | Phlox paniculata 'Orange Perfection' | Perennial | Garden Phlox
Orange Snapdragon | Antirrhinum 'Orange' | Annual | Snapdragons
Orange Sovereign | Hippeastrum 'Orange Sovereign' | Bulb | Amaryllis
Orange Star | Ornithogalum dubium | Bulb | Star of Bethlehem
Orange Tropical Hibiscus | Hibiscus rosa-sinensis | Shrub | Tropical Hibiscus
Orange Tuberous Begonia | Begonia × tuberhybrida | Annual | Tuberous Begonia
Orange Whisper | Potentilla fruticosa 'Orange Whisper' | Shrub | Potentilla
Orange Zinnia | Zinnia elegans 'Orange' | Annual | Zinnias
Oranges and Lemons | Gaillardia × grandiflora 'Oranges and Lemons' | Perennial | Blanket Flower
Oregano | Origanum | Herb | 
Oriental Lily | Lilium | Bulb | Lilies
Ornamental Kale | Brassica oleracea | Annual | Ornamental Kale
Osakazuki | Acer palmatum 'Osakazuki' | Tree | Japanese Maple
Ostrich Fern | Matteuccia struthiopteris | Fern | 
Otto's Thrill | Dahlia 'Otto's Thrill' | Bulb | Dahlias
Overdam | Calamagrostis × acutiflora 'Overdam' | Grass | Feather Reed Grass
Ozark Witch Hazel | Hamamelis vernalis | Shrub | Witch Hazel
Pachysandra | Pachysandra terminalis | Perennial | 
Painted Orange Bidens | Bidens ferulifolia 'Beedance Painted Orange' | Annual | Bidens
Painted Red Bidens | Bidens ferulifolia 'Beedance Painted Red' | Annual | Bidens
Palace Purple | Heuchera 'Palace Purple' | Perennial | Coral Bells
Pallida | Hamamelis × intermedia 'Pallida' | Shrub | Witch Hazel
Pam's Choice | Digitalis purpurea 'Pam's Choice' | Perennial | Foxglove
Pampas Grass | Cortaderia selloana | Grass | Pampas Grass
Panicle Hydrangea | Hydrangea paniculata | Shrub | Hydrangeas
Pansy | Viola \u00d7 wittrockiana | Annual | Pansies & Violas
Paprika | Achillea millefolium 'Paprika' | Perennial | Yarrow
Pardon Me | Hemerocallis 'Pardon Me' | Perennial | Daylilies
Pardon My Cerise | Monarda didyma 'Pardon My Cerise' | Perennial | Bee Balm
Pardon My Purple | Monarda didyma 'Pardon My Purple' | Perennial | Bee Balm
Parsley | Petroselinum crispum | Herb | 
Passionflower | Passiflora | Climber | Passionflower
Patience Rose | Rosa 'Patience' | Rose | 
Patricia | Geranium 'Patricia' | Perennial | Hardy Geranium
Patricia Ballard | Symphyotrichum novi-belgii 'Patricia Ballard' | Perennial | Aster
Patriot | Hosta 'Patriot' | Perennial | Hostas
Peace | Rosa 'Madame A. Meilland' | Rose | Hybrid Tea & Grandiflora Roses
Peach Annual Phlox | Phlox drummondii | Annual | Annual Phlox
Peach Blossom | Astilbe japonica 'Peach Blossom' | Perennial | Astilbe
Peach Melba | Tropaeolum majus 'Peach Melba' | Annual | Nasturtium
Peach Tropical Hibiscus | Hibiscus rosa-sinensis | Shrub | Tropical Hibiscus
Pearl Glam | Callicarpa 'Pearl Glam' | Shrub | Beautyberry
Pearly Gates | Ipomoea tricolor 'Pearly Gates' | Climber | Morning Glory
Peche Melba | Gladiolus 'Peche Melba' | Bulb | Gladiolus
Penny's Pink | Helleborus × hybridus 'Penny's Pink' | Perennial | Hellebore
Penstemon | Penstemon | Perennial | 
Pentas | Pentas lanceolata | Annual | Pentas
Peony | Paeonia | Perennial | Peonies
Perennial Salvia | Salvia nemorosa | Perennial | Salvia
Perennial Sunflower | Helianthus | Perennial | 
Periwinkle | Vinca minor | Perennial | 
Persian Lily | Fritillaria persica | Bulb | Fritillaria
Peter Pan | Agapanthus 'Peter Pan' | Bulb | Agapanthus
Petunia | Petunia | Annual | Petunias
Peve Minaret | Taxodium distichum 'Peve Minaret' | Conifer | Bald Cypress
Phenomenal | Lavandula × intermedia 'Phenomenal' | Herb | Lavender
Picasso | Zantedeschia 'Picasso' | Bulb | Calla Lily
Pickwick | Crocus vernus 'Pickwick' | Bulb | Crocus
Picotee | Hippeastrum 'Picotee' | Bulb | Amaryllis
Picotee Lisianthus | Eustoma grandiflorum | Annual | Lisianthus
Picotee Pink | Ranunculus asiaticus 'Picotee' | Bulb | Ranunculus
Pincushion Flower | Scabiosa | Perennial | 
Pineapple | Coleus 'Pineapple' | Annual | Coleus
Pink African Daisy | Osteospermum 'Serenity Pink' | Annual | African Daisy
Pink Ageratum | Ageratum houstonianum | Annual | Ageratum
Pink Bachelor's Button | Centaurea cyanus | Annual | Bachelor's Button
Pink Bacopa | Chaenostoma cordatum | Annual | Bacopa
Pink Beauty | Potentilla fruticosa 'Pink Beauty' | Shrub | Potentilla
Pink Bicolor | Verbena 'EnduraScape Pink Bicolor' | Annual | Verbena
Pink Bidens | Bidens hybrid | Annual | Bidens
Pink Calla | Zantedeschia rehmannii | Bulb | Calla Lily
Pink Canterbury Bells | Campanula medium | Annual | Canterbury Bells
Pink Cat | Nepeta 'Pink Cat' | Perennial | Catmint
Pink Chaos | Coleus 'Pink Chaos' | Annual | Coleus
Pink Charm | Narcissus 'Pink Charm' | Bulb | Daffodils
Pink China | Colocasia esculenta 'Pink China' | Bulb | Elephant Ear
Pink Cloud Cherry | Prunus 'Pink Cloud' | Tree | Flowering Cherry
Pink Damask | Veronica 'Pink Damask' | Perennial | Veronica
Pink Damask Daylily | Hemerocallis 'Pink Damask' | Perennial | 
Pink Delight | Buddleia davidii 'Pink Delight' | Shrub | Butterfly Bush
Pink Delight | Weigela florida 'Pink Delight' | Shrub | Weigela
Pink Dogwood | Cornus florida var. rubra | Tree | Dogwood
Pink Double Delight | Echinacea 'Pink Double Delight' | Perennial | Coneflowers
Pink Fan Flower | Scaevola aemula | Annual | Fan Flower
Pink Feather Pampas | Cortaderia selloana 'Rosea' | Grass | Pampas Grass
Pink Fire | Dianthus gratianopolitanus 'Pink Fire' | Perennial | Dianthus
Pink Flowering Tobacco | Nicotiana alata | Annual | Flowering Tobacco
Pink Freesia | Freesia 'Pink' | Bulb | Freesia
Pink Frost | Helleborus 'Pink Frost' | Perennial | Hellebore
Pink Gazania | Gazania rigens | Annual | Gazania
Pink Geranium | Pelargonium 'Pink' | Annual | Geraniums
Pink Gerbera | Gerbera jamesonii | Annual | Gerbera Daisy
Pink Giant | Scilla forbesii 'Pink Giant' | Bulb | Glory of the Snow
Pink Hawaiian Coral | Paeonia 'Pink Hawaiian Coral' | Perennial | Peonies
Pink Icicle | Camellia × 'Pink Icicle' | Shrub | Camellia
Pink Impression | Tulipa 'Pink Impression' | Bulb | Tulips
Pink Jasmine | Jasminum polyanthum | Climber | Jasmine
Pink Larkspur | Consolida ajacis | Annual | Larkspur
Pink Lemonade | Baptisia 'Pink Lemonade' | Perennial | False Indigo
Pink Lisianthus | Eustoma grandiflorum | Annual | Lisianthus
Pink Marguerite Daisy | Argyranthemum | Annual | Marguerite Daisy
Pink Marshmallow | Fuchsia 'Pink Marshmallow' | Annual | Fuchsia
Pink Mexican Heather | Cuphea hyssopifolia | Annual | Cuphea
Pink Mum | Chrysanthemum 'Pink' | Perennial | Chrysanthemums
Pink Ornamental Kale | Brassica oleracea | Annual | Ornamental Kale
Pink Pearl | Hyacinthus 'Pink Pearl' | Bulb | Hyacinth
Pink Perfection | Camellia japonica 'Pink Perfection' | Shrub | Camellia
Pink Petunia | Petunia 'Pink' | Annual | Petunias
Pink Portulaca | Portulaca grandiflora | Annual | Portulaca
Pink President | Canna 'Pink President' | Bulb | Canna Lily
Pink Profusion | Salvia nemorosa 'Pink Profusion' | Perennial | Salvia
Pink Ranunculus | Ranunculus asiaticus | Bulb | Ranunculus
Pink Sapphire | Coreopsis 'Pink Sapphire' | Perennial | Coreopsis
Pink Spire | Clethra alnifolia 'Pink Spire' | Shrub | Summersweet
Pink Star | Anemone blanda 'Pink Star' | Bulb | Anemone
Pink Star | Anemone blanda 'Pink Star' | Bulb | Windflower
Pink Statice | Limonium sinuatum | Annual | Statice
Pink Strawflower | Xerochrysum bracteatum | Annual | Strawflower
Pink Sunrise | Muscari 'Pink Sunrise' | Bulb | Grape Hyacinth
Pink Velour | Lagerstroemia 'Pink Velour' | Shrub | Crape Myrtle
Pink Verbena | Verbena × hybrida | Annual | Verbena
Pink Whisper | Potentilla fruticosa 'Pink Whisper' | Shrub | Potentilla
Pink Wishbone Flower | Torenia fournieri | Annual | Wishbone Flower
Pink Wisteria (Rosea) | Wisteria floribunda 'Rosea' | Climber | Wisteria
Pink Zinnia | Zinnia elegans 'Pink' | Annual | Zinnias
PJM | Rhododendron 'PJM' | Shrub | Rhododendrons
Plum Pudding | Heuchera 'Plum Pudding' | Perennial | Coral Bells
Plum Wine | Verbena 'Superbena Royale Plum Wine' | Annual | Verbena
Pomegranate | Achillea millefolium 'Pomegranate' | Perennial | Yarrow
Poppy Anemone | Anemone coronaria | Bulb | Anemone
Portuguese Squill | Scilla peruviana | Bulb | Scilla
Portulaca | Portulaca grandiflora | Annual | Portulaca
Potentilla | Potentilla fruticosa | Shrub | Potentilla
PowWow Wild Berry | Echinacea 'PowWow Wild Berry' | Perennial | Coneflowers
Prairie Sun | Rudbeckia hirta 'Prairie Sun' | Perennial | Black-Eyed Susan
Prairifire | Malus 'Prairifire' | Tree | Crabapple
President | Canna 'President' | Bulb | Canna Lily
President | Hibiscus rosa-sinensis 'President' | Shrub | Tropical Hibiscus
President Grevy | Syringa vulgaris 'President Grevy' | Shrub | Lilac
President Lincoln | Syringa vulgaris 'President Lincoln' | Shrub | Lilac
Primrose | Syringa vulgaris 'Primrose' | Shrub | Lilac
Primrose | Primula | Perennial | 
Princess Alexandra of Kent | Rosa 'Ausmerchant' | Rose | English (David Austin) Roses
Princess Charlene de Monaco Rose | Rosa 'Princess Charlene de Monaco' | Rose | 
Princess Diana Serviceberry | Amelanchier × grandiflora 'Princess Diana' | Tree | Serviceberry
Princess Irene | Tulipa 'Princess Irene' | Bulb | Tulips
Priscilla | Gladiolus 'Priscilla' | Bulb | Gladiolus
Professor Kippenberg | Symphyotrichum novi-belgii 'Professor Anton Kippenberg' | Perennial | Aster
Professor Sargent | Camellia japonica 'Professor Sargent' | Shrub | Camellia
Profusion | Malus 'Profusion' | Tree | Crabapple
Profusion | Callicarpa bodinieri 'Profusion' | Shrub | Beautyberry
Profusion Cherry | Zinnia 'Profusion Cherry' | Annual | Zinnias
Profusion White | Zinnia 'Profusion White' | Annual | Zinnias
Provence | Lavandula × intermedia 'Provence' | Herb | Lavender
Pugster Blue | Buddleia 'Pugster Blue' | Shrub | Butterfly Bush
Pumpkin Pie | Coreopsis 'Pumpkin Pie' | Perennial | Coreopsis
Purissima | Tulipa 'Purissima' | Bulb | Tulips
Purity | Cosmos bipinnatus 'Purity' | Annual | Cosmos
Purple Ageratum | Ageratum houstonianum | Annual | Ageratum
Purple Annual Phlox | Phlox drummondii | Annual | Annual Phlox
Purple Bachelor's Button | Centaurea cyanus | Annual | Bachelor's Button
Purple Beauty | Phlox subulata 'Purple Beauty' | Perennial | Creeping Phlox
Purple Browallia | Browallia speciosa | Annual | Browallia
Purple Calla | Zantedeschia 'Purple Sensation' | Bulb | Calla Lily
Purple Candles | Astilbe chinensis 'Purpurlanze' | Perennial | Astilbe
Purple Coneflower | Echinacea purpurea | Perennial | Coneflowers
Purple de Oro | Hemerocallis 'Purple de Oro' | Perennial | Daylilies
Purple Dome | Symphyotrichum novae-angliae 'Purple Dome' | Perennial | Aster
Purple Emperor | Hylotelephium 'Purple Emperor' | Perennial | Sedum
Purple Face Pansy | Viola wittrockiana 'Purple Face' | Annual | Pansies & Violas
Purple Flowering Tobacco | Nicotiana alata | Annual | Flowering Tobacco
Purple Fountain Grass | Pennisetum setaceum 'Rubrum' | Grass | Fountain Grass
Purple Freesia | Freesia 'Purple Rain' | Bulb | Freesia
Purple Geranium | Pelargonium 'Purple' | Annual | Geraniums
Purple Gleam | Eschscholzia californica 'Purple Gleam' | Annual | California Poppy
Purple Globe Amaranth | Gomphrena globosa | Annual | Globe Amaranth
Purple Magic | Gladiolus 'Purple Magic' | Bulb | Gladiolus
Purple Mum | Chrysanthemum 'Purple' | Perennial | Chrysanthemums
Purple Petunia | Petunia 'Purple' | Annual | Petunias
Purple Phlox | Phlox paniculata 'Purple' | Perennial | Garden Phlox
Purple Pillar | Hibiscus syriacus 'Purple Pillar' | Shrub | Rose of Sharon
Purple Prince | Malus 'Purple Prince' | Tree | Crabapple
Purple Ranunculus | Ranunculus asiaticus | Bulb | Ranunculus
Purple Rooster | Monarda 'Purple Rooster' | Perennial | Bee Balm
Purple Sensation | Allium hollandicum 'Purple Sensation' | Bulb | Allium
Purple Smoke | Baptisia 'Purple Smoke' | Perennial | False Indigo
Purple Snapdragon | Antirrhinum 'Purple' | Annual | Snapdragons
Purple Splendor | Rhododendron 'Purple Splendour' | Shrub | Rhododendrons
Purple Stock | Matthiola incana | Annual | Stock
Purple Strawflower | Xerochrysum bracteatum | Annual | Strawflower
Purple Trailing | Lantana montevidensis | Annual | Lantana
Purple Vinca | Catharanthus roseus | Annual | Vinca
Purple Wave | Petunia 'Purple Wave' | Annual | Petunias
Purple Zinnia | Zinnia elegans 'Purple' | Annual | Zinnias
Purpleicious | Veronica 'Purpleicious' | Perennial | Veronica
Purrsian Blue | Nepeta 'Purrsian Blue' | Perennial | Catmint
QIS Orange | Gomphrena haageana 'QIS Orange' | Annual | Globe Amaranth
Queen Elizabeth | Rosa 'Queen Elizabeth' | Rose | Hybrid Tea & Grandiflora Roses
Queen Lime Orange | Zinnia elegans 'Queen Lime Orange' | Annual | Zinnias
Queen of Night | Tulipa 'Queen of Night' | Bulb | Tulips
Queen of Sweden | Rosa 'Austiger' | Rose | English (David Austin) Roses
Queen of the Prairie | Filipendula rubra | Perennial | 
Radar | Anemone blanda 'Radar' | Bulb | Windflower
Radiation | Lantana camara 'Radiation' | Annual | Lantana
Radicans | Gardenia jasminoides 'Radicans' | Shrub | Gardenia
Rainbow Pillar | Amelanchier canadensis 'Rainbow Pillar' | Tree | Serviceberry
Ranunculus | Ranunculus asiaticus | Bulb | Ranunculus
Raspberry Pentas | Pentas lanceolata | Annual | Pentas
Raspberry Swirl Rex Begonia | Begonia rex 'Raspberry Swirl' | Annual | Rex Begonia
Raspberry Wine | Monarda 'Raspberry Wine' | Perennial | Bee Balm
Raydon's Favorite | Symphyotrichum oblongifolium 'Raydon's Favorite' | Perennial | Aster
Red Ace | Potentilla fruticosa 'Red Ace' | Shrub | Potentilla
Red Annual Phlox | Phlox drummondii | Annual | Annual Phlox
Red Boy | Centaurea cyanus 'Red Boy' | Annual | Bachelor's Button
Red Calla | Zantedeschia 'Garnet Glow' | Bulb | Calla Lily
Red Charm | Paeonia 'Red Charm' | Perennial | Peonies
Red Flash Caladium | Caladium 'Red Flash' | Annual | Caladium
Red Flowering Tobacco | Nicotiana alata | Annual | Flowering Tobacco
Red Four O'Clock | Mirabilis jalapa | Annual | Four O'Clock
Red Fox | Veronica spicata 'Rotfuchs' | Perennial | Veronica
Red Freesia | Freesia 'Red' | Bulb | Freesia
Red Gazania | Gazania rigens | Annual | Gazania
Red Gerbera | Gerbera jamesonii | Annual | Gerbera Daisy
Red Gladiolus | Gladiolus | Bulb | Gladiolus
Red Heart | Hibiscus syriacus 'Red Heart' | Shrub | Rose of Sharon
Red Hot Poker | Kniphofia | Perennial | 
Red Impatiens | Impatiens walleriana | Annual | Impatiens
Red Jewel | Malus 'Red Jewel' | Tree | Crabapple
Red Kiss Rex Begonia | Begonia rex 'Red Kiss' | Annual | Rex Begonia
Red Lion | Hippeastrum 'Red Lion' | Bulb | Amaryllis
Red Maple | Acer rubrum | Tree | 
Red Marguerite Daisy | Argyranthemum | Annual | Marguerite Daisy
Red Marigold | Tagetes patula 'Red' | Annual | Marigolds
Red Mum | Chrysanthemum 'Red' | Perennial | Chrysanthemums
Red Pansy | Viola wittrockiana 'Red' | Annual | Pansies & Violas
Red Passionflower | Passiflora coccinea | Climber | Passionflower
Red Pentas | Pentas lanceolata | Annual | Pentas
Red Petunia | Petunia 'Red' | Annual | Petunias
Red Portulaca | Portulaca grandiflora | Annual | Portulaca
Red Prince | Weigela florida 'Red Prince' | Shrub | Weigela
Red Ranunculus | Ranunculus asiaticus | Bulb | Ranunculus
Red Rocket | Lagerstroemia 'Red Rocket' | Shrub | Crape Myrtle
Red Satin | Coreopsis 'Red Satin' | Perennial | Coreopsis
Red Sentinel | Astilbe × arendsii 'Red Sentinel' | Perennial | Astilbe
Red Snapdragon | Antirrhinum 'Red' | Annual | Snapdragons
Red Sprite | Ilex verticillata 'Red Sprite' | Shrub | Winterberry
Red Stock | Matthiola incana | Annual | Stock
Red Strawflower | Xerochrysum bracteatum | Annual | Strawflower
Red Tropical Hibiscus | Hibiscus rosa-sinensis | Shrub | Tropical Hibiscus
Red Velvet | Achillea millefolium 'Red Velvet' | Perennial | Yarrow
Red Verbena | Verbena × hybrida | Annual | Verbena
Red Vinca | Catharanthus roseus | Annual | Vinca
Red Wings | Phlox subulata 'Red Wings' | Perennial | Creeping Phlox
Redhead | Coleus 'Redhead' | Annual | Coleus
Regent Serviceberry | Amelanchier alnifolia 'Regent' | Shrub | Serviceberry
Remembrance | Crocus vernus 'Remembrance' | Bulb | Crocus
Rex Begonia | Begonia rex | Annual | Rex Begonia
Rheingold | Thuja occidentalis 'Rheingold' | Conifer | Arborvitae
Rheinland | Astilbe japonica 'Rheinland' | Perennial | Astilbe
Rhododendron | Rhododendron | Shrub | Rhododendrons
Rilona | Hippeastrum 'Rilona' | Bulb | Amaryllis
Ring of Fire | Helianthus annuus 'Ring of Fire' | Annual | Sunflower
River Birch | Betula nigra | Tree | 
River Mist | Chasmanthium latifolium 'River Mist' | Grass | Northern Sea Oats
River Nile Rex Begonia | Begonia rex 'River Nile' | Annual | Rex Begonia
Roald Dahl | Rosa 'Ausowlish' | Rose | English (David Austin) Roses
Robert Poore | Phlox paniculata 'Robert Poore' | Perennial | Garden Phlox
Rock Cress | Aubrieta | Perennial | 
