existing_plant,botanical,proposed_aliases,buckets,top_freq,n_aliases
Mock Orange,Philadelphus,english dogwood; mock orange bush; mock oranges; mockorange; sweet mock orange,alt-common-name; plural-format,med,5
Checkered Lily,Fritillaria meleagris,fritilaria; fritillary; guinea hen flower; snake's head fritillary; snakeshead fritillary,alt-common-name; misspelling,med,5
Rosa 'Fantin-Latour',Rosa 'Fantin-Latour',antique roses; fantin latour; fantin latour rose; heritage roses; old fashioned roses,alt-common-name; misspelling,med,5
Rosa 'Ispahan',Rosa 'Ispahan',damask roses; heritage roses; ispahan rose; old fashioned roses; pompon des princes,alt-common-name; plural-format,med,5
Autumn Damask Rose,Rosa damascena var. semperflorens,damask roses; four seasons rose; old fashioned roses; quatre saisons; rose of castile,alt-common-name; plural-format,med,5
Blue Rug Juniper,Juniperus horizontalis 'Wiltonii',blue rug creeping juniper; carpet juniper; creeping juniper; trailing juniper; wiltoni juniper,alt-common-name; misspelling,med,5
Thyme,Thymus,creeping thyme; english thyme; lemon thyme; thime; thyme plant,alt-common-name; misspelling; plural-format,med,5
Parsley,Petroselinum crispum,curly parsley; flat leaf parsley; italian parsley; parsely; parsly,alt-common-name; misspelling,med,5
Brunnera,Brunnera macrophylla,false forget me not; false forget-me-not; forget me not; siberian bugloss,alt-common-name; plural-format,med,4
Verbena,Verbena,lanai verbena; trailing verbena; verbina; vervain,alt-common-name; brand-series; misspelling,med,4
Sarah Bernhardt,Paeonia 'Sarah Bernhardt',paeony; sara bernhardt; sarah bernhardt peony; sarah bernhart,cultivar-trade; misspelling; regional,med,4
Hollyhock,Alcea rosea,hollihock; holly hock; hollyhocks; holyhock,misspelling; plural-format,med,4
Beautyberry,Callicarpa,beauty berry; beautyberries; french mulberry; purple beautyberry,alt-common-name; plural-format; regional,med,4
Boston Ivy,Parthenocissus tricuspidata,boston ivies; japanese creeper; japanese ivy; parthenocisus,alt-common-name; misspelling; plural-format,med,4
Giant Allium,Allium giganteum,alium; alliums; flowering onion; ornamental onion,alt-common-name; misspelling; plural-format,med,4
Globemaster,Allium 'Globemaster',alium; alliums; flowering onion; ornamental onion,alt-common-name; misspelling; plural-format,med,4
Purple Sensation,Allium hollandicum 'Purple Sensation',alium; alliums; flowering onion; ornamental onion,alt-common-name; misspelling; plural-format,med,4
Red Hot Poker,Kniphofia,poker plant; red hot pokers; torch lily; tritoma,alt-common-name; botanical-genus; plural-format,med,4
Shrub Rose,Rosa,at last; landscape rose; oso easy; shrub roses,alt-common-name; brand-series; plural-format,med,4
Eastern White Pine,Pinus strobus,american white pine; northern white pine; soft pine; weymouth pine,alt-common-name,med,4
Douglas Fir,Pseudotsuga menziesii,doug fir; douglas spruce; douglas-fir; oregon pine,alt-common-name; plural-format,med,4
Skyrocket Juniper,Juniperus scopulorum 'Skyrocket',columnar juniper; rocky mountain juniper; sky rocket juniper; upright juniper,alt-common-name; plural-format,med,4
Wolf Eyes,Cornus kousa 'Wolf Eyes',chinese dogwood; japanese dogwood; variegated dogwood; wolf eyes dogwood,alt-common-name; cultivar-trade,med,4
Pampas Grass,Cortaderia selloana,pampass grass; pompas grass; pompous grass; white pampas grass,misspelling; plural-format,med,4
Northern Sea Oats,Chasmanthium latifolium,inland sea oats; river oats; spangle grass; wild oats,alt-common-name,med,4
Rosemary,Salvia rosmarinus,rosemary bush; rosemary plant; rosemery; rosmary,misspelling; plural-format,med,4
Dianthus,Dianthus,cottage pink; cottage pinks; dianthis; pinks,alt-common-name; misspelling,med,4
Switchgrass,Panicum virgatum,panic grass; prairie grass; prairie switchgrass; switch grass,alt-common-name; plural-format,med,4
Cuphea (Cigar Plant),Cuphea ignea,cigar flower; cuffea; firecracker plant,alt-common-name; misspelling,med,3
Dusty Miller,Jacobaea maritima,senecio; silver dust; silver ragwort,alt-common-name; botanical-genus; cultivar-trade,med,3
Catmint,Nepeta,cat mint; cat's pajamas; catnip,alt-common-name; brand-series; plural-format,med,3
Autumn Crocus,Colchicum,fall crocus; meadow saffron; naked ladies,alt-common-name; regional,med,3
Monkshood,Aconitum,aconite; monks hood; wolfsbane,alt-common-name; plural-format,med,3
Ostrich Fern,Matteuccia struthiopteris,fiddlehead fern; ostritch fern; shuttlecock fern,alt-common-name; misspelling; regional,med,3
Fan Flower,Scaevola aemula,fairy fan flower; scaveola; surdiva,alt-common-name; brand-series; misspelling,med,3
Flowering Tobacco,Nicotiana,jasmine tobacco; ornamental tobacco; tobacco plant,alt-common-name,med,3
Pink Verbena,Verbena × hybrida,lanai verbena; trailing verbena; vervain,alt-common-name; brand-series,med,3
Red Verbena,Verbena × hybrida,lanai verbena; trailing verbena; vervain,alt-common-name; brand-series,med,3
Blue Pansy,Viola wittrockiana 'Blue',cool wave; matrix pansy; pansey,brand-series; misspelling,med,3
Yellow Pansy,Viola wittrockiana 'Yellow',cool wave; matrix pansy; pansey,brand-series; misspelling,med,3
Lantana,Lantana camara,lantanna; latana; shrub verbena,alt-common-name; misspelling,med,3
Lobelia,Lobelia erinus,edging lobelia; lobellia; trailing lobelia,alt-common-name; misspelling,med,3
Anise Hyssop,Agastache,agastashe; hummingbird mint; korean mint,alt-common-name; misspelling,med,3
Bleeding Heart,Lamprocapnos spectabilis,dicentra; dicentra spectabilis; old fashioned bleeding heart,alt-common-name; botanical-genus,med,3
Visions,Astilbe chinensis 'Visions',astible; chinese astilbe; false spirea,alt-common-name; misspelling,med,3
Yarrow,Achillea,achilea; milfoil; yarrows,alt-common-name; misspelling; plural-format,med,3
Barrenwort,Epimedium,bishop's hat; fairy wings; horny goat weed,alt-common-name,med,3
Firewitch,Dianthus gratianopolitanus 'Firewitch',cheddar pink; cheddar pinks; pinks,alt-common-name,med,3
Nora Barlow,Aquilegia vulgaris 'Nora Barlow',aquilega; granny's bonnet; grannys bonnet,alt-common-name; misspelling; regional,med,3
Hens and Chicks,Sempervivum,hen and chicks; hens & chicks; houseleek,alt-common-name; plural-format,med,3
My Castle,Lupinus 'My Castle',lupins; russell lupine; russell lupins,alt-common-name; brand-series; regional,med,3
Summersweet,Clethra alnifolia,summer sweet; sweet pepper bush; sweet pepperbush,alt-common-name; plural-format,med,3
Witch Hazel,Hamamelis,witch hazel shrub; witch hazels; witchhazel,plural-format,med,3
American Beautyberry,Callicarpa americana,american beauty berry; beauty berry; french mulberry,alt-common-name; plural-format; regional,med,3
Climbing Hydrangea,Hydrangea petiolaris,climbing hydrangeas; climbing hydrangia; hydrangea vine,alt-common-name; misspelling; plural-format,med,3
Canna Lily,Canna,canna lilies; cannas; indian shot,alt-common-name; plural-format,med,3
Primrose,Primula,cowslip; polyanthus; primroses,alt-common-name; plural-format,med,3
Julia Child,Rosa 'WEKvossutono',absolutely fabulous rose; floribunda roses; julia child rose,cultivar-trade; plural-format,med,3
Flower Carpet Rose,Rosa 'Noatraum',ground cover roses; groundcover rose; landscape rose,alt-common-name,med,3
Hoopsii,Picea pungens 'Hoopsii',hoopsi blue spruce; hoopsii blue spruce; hoopsii spruce,cultivar-trade; misspelling,med,3
Montgomery,Picea pungens 'Montgomery',montgomery; montgomery blue spruce; montgomery spruce,cultivar-trade,med,3
DeGroot's Spire,Thuja occidentalis 'DeGroot's Spire',degroot spire; degroots spire; degroots spire arborvitae,cultivar-trade; plural-format,med,3
Dwarf Alberta Spruce,Picea glauca 'Conica',dwarf alberta spruce tree; dwarf white spruce; white spruce,alt-common-name,med,3
Blue Point Juniper,Juniperus chinensis 'Blue Point',chinese juniper; columnar juniper; upright juniper,alt-common-name,med,3
Spartan Juniper,Juniperus chinensis 'Spartan',chinese juniper; columnar juniper; upright juniper,alt-common-name,med,3
Coral Bark Maple,Acer palmatum 'Sango-kaku',coral bark japanese maple; sangokaku maple; senkaki maple,alt-common-name; cultivar-trade,med,3
Milky Way Kousa,Cornus kousa 'Milky Way',chinese dogwood; japanese dogwood; milky way dogwood,alt-common-name; cultivar-trade,med,3
Satomi Kousa,Cornus kousa 'Satomi',chinese dogwood; japanese dogwood; satomi dogwood,alt-common-name; cultivar-trade,med,3
Little Gem Magnolia,Magnolia grandiflora 'Little Gem',bull bay; dwarf magnolia; evergreen magnolia,alt-common-name,med,3
Little Bunny,Pennisetum alopecuroides 'Little Bunny',cenchrus; dwarf fountain grass; penisetum,alt-common-name; botanical-genus; misspelling,med,3
Winterberry,Ilex verticillata,holly; winter berry; winterberry holly,alt-common-name; plural-format,med,3
Mammoth,Helianthus annuus 'Mammoth',mammoth sunflower; russian mammoth; sun flower,cultivar-trade; plural-format,med,3
Giant Sunflower,Helianthus annuus 'Mammoth Russian',mammoth sunflower; russian mammoth; sun flower,cultivar-trade; plural-format,med,3
Love-Lies-Bleeding,Amaranthus caudatus,love lies bleeding; prince's feather; tassel flower,alt-common-name; plural-format,med,3
Rockin' Raspberry,Monarda 'Rockin' Raspberry',rockin raspberry; rockin'; sugar buzz bee balm,brand-series; plural-format,med,3
Carolyn Whorton Caladium,Caladium 'Carolyn Whorton',angel wings; fancy leaf caladium,alt-common-name,med,2
Boston Fern,Nephrolepis exaltata,boston fern plant; sword fern,alt-common-name; plural-format,med,2
Blazing Star,Liatris,gay feather; gayfeather,alt-common-name; plural-format,med,2
Lime Green,Nicotiana alata 'Lime Green',jasmine tobacco; tobacco plant,alt-common-name,med,2
Blue Lisianthus,Eustoma grandiflorum,prairie gentian; texas bluebell,alt-common-name,med,2
Mexican Heather,Cuphea hyssopifolia,cuffea; false heather,alt-common-name; misspelling,med,2
Browallia,Browallia speciosa,amethyst flower; bush violet,alt-common-name,med,2
Orange Pansy,Viola wittrockiana 'Orange',matrix pansy; pansey,brand-series; misspelling,med,2
White Pansy,Viola wittrockiana 'White',cool wave; pansey,brand-series; misspelling,med,2
Yellow California Poppy,Eschscholzia californica,californian poppy; golden poppy,alt-common-name; regional,med,2
Globe Amaranth,Gomphrena,bachelor button gomphrena; gomfrena,alt-common-name; misspelling,med,2
Red Vinca,Catharanthus roseus,cora vinca; madagascar periwinkle,alt-common-name; brand-series,med,2
Rose Vinca,Catharanthus roseus,cora vinca; madagascar periwinkle,alt-common-name; brand-series,med,2
White Vinca,Catharanthus roseus,cora vinca; madagascar periwinkle,alt-common-name; brand-series,med,2
Wax Begonia Pink,Begonia semperflorens,bedding begonia; fibrous begonia,alt-common-name,med,2
Wax Begonia Red,Begonia semperflorens,bedding begonia; fibrous begonia,alt-common-name,med,2
Wax Begonia White,Begonia semperflorens,bedding begonia; fibrous begonia,alt-common-name,med,2
Dragon Wing Pink,Begonia 'Dragon Wing Pink',angel wing begonia; whopper begonia,alt-common-name; brand-series,med,2
Dragon Wing Red,Begonia 'Dragon Wing Red',angel wing begonia; whopper begonia,alt-common-name; brand-series,med,2
Lemon Gem,Tagetes tenuifolia 'Lemon Gem',gem marigold; signet marigold,alt-common-name,med,2
Tangerine Gem,Tagetes tenuifolia 'Tangerine Gem',gem marigold; signet marigold,alt-common-name,med,2
Cosmos,Cosmos bipinnatus,cosmea; mexican aster,alt-common-name,med,2
Roselle (Rosa de Jamaica),Hibiscus sabdariffa,florida cranberry; jamaica sorrel,alt-common-name,med,2
French Marigold,Tagetes patula,marygold; marygolds,misspelling,med,2
Becky,Leucanthemum × superbum 'Becky',becky daisy; shasta daisies,other; plural-format,med,2
Shasta Daisy,Leucanthemum,shasta daisey; shasta daisies,misspelling; plural-format,med,2
Astilbe,Astilbe,astible; false spirea,alt-common-name; misspelling,med,2
Fanal,Astilbe × arendsii 'Fanal',astible; false spirea,alt-common-name; misspelling,med,2
Ivory Prince,Helleborus 'Ivory Prince',gold collection hellebore; helebore,brand-series; misspelling,med,2
Pink Frost,Helleborus 'Pink Frost',gold collection hellebore; helebore,brand-series; misspelling,med,2
Moonshine,Achillea 'Moonshine',achilea; yarrows,misspelling; plural-format,med,2
Goblin,Gaillardia × grandiflora 'Goblin',blanket flowers; indian blanket,alt-common-name; plural-format,med,2
Balloon Flower,Platycodon,balloon flowers; chinese bellflower,alt-common-name; plural-format,med,2
Fuji Pink,Platycodon grandiflorus 'Fuji Pink',balloon flowers; chinese bellflower,alt-common-name; plural-format,med,2
Karl Rosenfield,Paeonia 'Karl Rosenfield',karl rosenfeld; paeony,misspelling; regional,med,2
Bath's Pink,Dianthus 'Bath's Pink',baths pink; cheddar pink,alt-common-name; plural-format,med,2
Tiny Rubies,Dianthus gratianopolitanus 'Tiny Rubies',cheddar pink; cheddar pinks,alt-common-name,med,2
Sheffield Pink,Chrysanthemum 'Sheffield Pink',hardy chrysanthemum; hardy mum,alt-common-name,med,2
Common Foxglove,Digitalis purpurea,fox glove; foxgloves,plural-format,med,2
Foxglove,Digitalis,fox glove; foxgloves,plural-format,med,2
Goatsbeard,Aruncus dioicus,goat's beard; goats beard,plural-format,med,2
Jacob's Ladder,Polemonium,greek valerian; jacobs ladder,alt-common-name; plural-format,med,2
Joe Pye Weed,Eutrochium,eupatorium; joe-pye weed,botanical-genus; plural-format,med,2
Gallery Blue,Lupinus 'Gallery Blue',lupins; russell lupine,alt-common-name; brand-series; regional,med,2
Lupine,Lupinus,lupins; russell lupine,alt-common-name; brand-series; regional,med,2
The Chatelaine,Lupinus 'The Chatelaine',russell lupine; russell lupins,alt-common-name; brand-series,med,2
The Governor,Anemone coronaria 'The Governor',lupins; russell lupine,alt-common-name; brand-series; regional,med,2
Tropical Hibiscus,Hibiscus rosa-sinensis,chinese hibiscus; hawaiian hibiscus,alt-common-name,med,2
Pugster Blue,Buddleia 'Pugster Blue',pugster blue butterfly bush; pugster butterfly bush,brand-series,med,2
American Boxwood,Buxus sempervirens,box wood; common boxwood,alt-common-name; plural-format,med,2
Coppertina,Physocarpus opulifolius 'Mindia',coppertina ninebark; purple ninebark,alt-common-name; cultivar-trade,med,2
Ninebark,Physocarpus opulifolius,nine bark; ninebarks,plural-format,med,2
Madame Lemoine,Syringa vulgaris 'Madame Lemoine',french lilac; madame lemoine lilac,alt-common-name; cultivar-trade,med,2
Charles Joly,Syringa vulgaris 'Charles Joly',charles joly lilac; french lilac,alt-common-name; cultivar-trade,med,2
Dorothy Perkins Rose,Rosa 'Dorothy Perkins',rambler rose; rambling rose,alt-common-name,med,2
Angelique,Tulipa 'Angelique',double tulip; peony tulip,alt-common-name,med,2
Jetfire,Narcissus 'Jetfire',dwarf daffodil; miniature daffodil,alt-common-name,med,2
February Gold,Narcissus 'February Gold',dwarf daffodil; miniature daffodil,alt-common-name,med,2
Kelvin Floodlight,Dahlia 'Kelvin Floodlight',dinner plate dahlia; dinnerplate dahlia,alt-common-name,med,2
Fleurel,Dahlia 'Fleurel',dinner plate dahlia; dinnerplate dahlia,alt-common-name,med,2
Red Ranunculus,Ranunculus asiaticus,persian buttercup; ranunculus bulbs,alt-common-name; plural-format,med,2
White Ranunculus,Ranunculus asiaticus,persian buttercup; ranunculus bulbs,alt-common-name; plural-format,med,2
Checkered Lily Alba,Fritillaria meleagris 'Alba',snake's head fritillary; snakeshead fritillary,alt-common-name,med,2
Crown Imperial,Fritillaria imperialis,fritilaria; fritillary,alt-common-name; misspelling,med,2
Persian Lily,Fritillaria persica,fritilaria; fritillary,alt-common-name; misspelling,med,2
Showy Crocus,Colchicum speciosum,fall crocus; meadow saffron,alt-common-name; regional,med,2
Sienna Sunset,Coreopsis 'Sienna Sunset',big bang; big bang coreopsis,brand-series,med,2
Raydon's Favorite,Symphyotrichum oblongifolium 'Raydon's Favorite',aromatic aster; raydons favorite,alt-common-name; plural-format,med,2
Kopper King,Hibiscus 'Kopper King',copper king; perennial hibiscus,alt-common-name; misspelling,med,2
Summer Skies,Delphinium 'Summer Skies',pacific giant delphinium; perennial larkspur,alt-common-name; brand-series,med,2
False Indigo,Baptisia,blue false indigo; wild indigo,alt-common-name,med,2
Purple Smoke,Baptisia 'Purple Smoke',blue false indigo; wild indigo,alt-common-name,med,2
Maiden Pink,Dianthus deltoides,maiden pinks; pinks,alt-common-name; plural-format,med,2
Sweet William,Dianthus barbatus,dianthis; sweet williams,misspelling; plural-format,med,2
Sea Thrift,Armeria maritima,sea pink; sea pinks,alt-common-name; plural-format,med,2
Sweet Woodruff,Galium odoratum,asperula; bedstraw,alt-common-name; botanical-genus,med,2
Rosa 'Fragrant Cloud',Rosa 'Fragrant Cloud',duftwolke; fragrant cloud rose,cultivar-trade; plural-format,med,2
Hybrid Tea Rose,Rosa,grandiflora rose; hybrid tea roses,alt-common-name; plural-format,med,2
Rosa de Rescht (Damask Rose),Rosa 'De Rescht',damask roses; rose de rescht,plural-format; regional,med,2
Globe Blue Spruce,Picea pungens 'Globosa',dwarf globe blue spruce; globosa spruce,cultivar-trade,med,2
Rheingold,Thuja occidentalis 'Rheingold',rheingold arborvitae; rhinegold arborvitae,cultivar-trade; misspelling,med,2
Fire Chief,Thuja occidentalis 'Fire Chief',fire chief arborvitae; firechief arborvitae,cultivar-trade; plural-format,med,2
Blue Pacific Juniper,Juniperus conferta 'Blue Pacific',carpet juniper; shore juniper,alt-common-name,med,2
Weeping Hemlock,Tsuga canadensis 'Sargentii',sargent weeping hemlock; weeping canadian hemlock,alt-common-name; cultivar-trade,med,2
Tiny Tower,Cupressus sempervirens 'Tiny Tower',tiny tower cypress; tiny tower italian cypress,cultivar-trade,med,2
Bald Cypress,Taxodium distichum,bald cypress tree; swamp cypress,alt-common-name,med,2
Shawnee Brave,Taxodium distichum 'Shawnee Brave',shawnee brave bald cypress; shawnee brave cypress,cultivar-trade,med,2
Peve Minaret,Taxodium distichum 'Peve Minaret',peve minaret bald cypress; peve minaret cypress,cultivar-trade,med,2
Falling Waters,Taxodium distichum 'Falling Waters',falling waters bald cypress; falling waters cypress,cultivar-trade,med,2
Morning Light,Miscanthus sinensis 'Morning Light',miscanthis; morning light grass,misspelling; plural-format,med,2
Golden Hakone (Aureola),Hakonechloa macra 'Aureola',golden hakone grass; golden japanese forest grass,alt-common-name; plural-format,med,2
Dill,Anethum graveolens,dill weed; fernleaf dill,alt-common-name; cultivar-trade,med,2
Lemon Balm,Melissa officinalis,lemon balm plant; lemonbalm,plural-format,med,2
Autumn Fern,Dryopteris erythrosora,japanese wood fern; wood fern,alt-common-name,med,2
Holly Fern,Cyrtomium falcatum,holly fern japanese; japanese holly fern,alt-common-name,med,2
Penstemon,Penstemon,beard tongue; beardtongue,alt-common-name; plural-format,med,2
Pincushion Flower,Scabiosa,pin cushion flower; scabious,plural-format; regional,med,2
Red Satin,Coreopsis 'Red Satin',big bang; lil bang coreopsis,brand-series,med,2
Bugleweed,Ajuga reptans,bugle weed; carpet bugle,alt-common-name; plural-format,med,2
Candytuft,Iberis sempervirens,candy tuft; perennial candytuft,alt-common-name; plural-format,med,2
Pink Lemonade,Baptisia 'Pink Lemonade',decadence baptisia; wild indigo,alt-common-name; brand-series,med,2
Burning Hearts,Dicentra 'Burning Hearts',dicentra; fringed bleeding heart,alt-common-name; botanical-genus,med,2
King of Hearts,Dicentra 'King of Hearts',dicentra; fringed bleeding heart,alt-common-name; botanical-genus,med,2
Lavender Larkspur,Consolida ajacis,annual delphinium,alt-common-name,med,1
Pink Larkspur,Consolida ajacis,annual delphinium,alt-common-name,med,1
Rose Larkspur,Consolida ajacis,annual delphinium,alt-common-name,med,1
White Larkspur,Consolida ajacis,annual delphinium,alt-common-name,med,1
Red Flash Caladium,Caladium 'Red Flash',angel wings,alt-common-name,med,1
White Christmas Caladium,Caladium 'White Christmas',angel wings,alt-common-name,med,1
Junior Walker,Nepeta 'Junior Walker',catnip,alt-common-name,med,1
Six Hills Giant,Nepeta 'Six Hills Giant',catnip,alt-common-name,med,1
Blue Bird,Hibiscus syriacus 'Oiseau Bleu',blue bird rose of sharon,cultivar-trade,med,1
Pink Delight,Weigela florida 'Pink Delight',pink delight butterfly bush,cultivar-trade,med,1
Foam Flower,Tiarella,foamflower,alt-common-name; plural-format,med,1
Blue Fan Flower,Scaevola aemula,fairy fan flower,alt-common-name,med,1
Pink Fan Flower,Scaevola aemula,fairy fan flower,alt-common-name,med,1
White Fan Flower,Scaevola aemula,fairy fan flower,alt-common-name,med,1
Crimson Bedder,Nicotiana alata 'Crimson Bedder',tobacco plant,alt-common-name,med,1
Pink Flowering Tobacco,Nicotiana alata,tobacco plant,alt-common-name,med,1
Purple Flowering Tobacco,Nicotiana alata,tobacco plant,alt-common-name,med,1
Red Flowering Tobacco,Nicotiana alata,tobacco plant,alt-common-name,med,1
Coral Gerbera,Gerbera jamesonii,transvaal daisy,alt-common-name,med,1
Pink Gerbera,Gerbera jamesonii,transvaal daisy,alt-common-name,med,1
Red Gerbera,Gerbera jamesonii,transvaal daisy,alt-common-name,med,1
White Gerbera,Gerbera jamesonii,transvaal daisy,alt-common-name,med,1
Yellow Gerbera,Gerbera jamesonii,transvaal daisy,alt-common-name,med,1
Cream Lisianthus,Eustoma grandiflorum,prairie gentian,alt-common-name,med,1
Pink Lisianthus,Eustoma grandiflorum,prairie gentian,alt-common-name,med,1
Rose Lisianthus,Eustoma grandiflorum,prairie gentian,alt-common-name,med,1
White Lisianthus,Eustoma grandiflorum,prairie gentian,alt-common-name,med,1
Apricot Marguerite Daisy,Argyranthemum,paris daisy,alt-common-name,med,1
Pink Marguerite Daisy,Argyranthemum,paris daisy,alt-common-name,med,1
Red Marguerite Daisy,Argyranthemum,paris daisy,alt-common-name,med,1
Pink Mexican Heather,Cuphea hyssopifolia,false heather,alt-common-name,med,1
White Mexican Heather,Cuphea hyssopifolia,false heather,alt-common-name,med,1
Scarlet Verbena,Verbena 'Lanai Scarlet',vervain,alt-common-name,med,1
White Verbena,Verbena × hybrida,vervain,alt-common-name,med,1
Lavender Annual Phlox,Phlox drummondii,texas pride,alt-common-name,med,1
Peach Annual Phlox,Phlox drummondii,texas pride,alt-common-name,med,1
Purple Browallia,Browallia speciosa,amethyst flower,alt-common-name,med,1
White Browallia,Browallia speciosa,amethyst flower,alt-common-name,med,1
Apricot Vinca,Catharanthus roseus,madagascar periwinkle,alt-common-name,med,1
Coral Vinca,Catharanthus roseus,madagascar periwinkle,alt-common-name,med,1
Purple Vinca,Catharanthus roseus,madagascar periwinkle,alt-common-name,med,1
Purple Stock,Matthiola incana,gillyflower,alt-common-name,med,1
Red Stock,Matthiola incana,gillyflower,alt-common-name,med,1
Rose Stock,Matthiola incana,gillyflower,alt-common-name,med,1
White Stock,Matthiola incana,gillyflower,alt-common-name,med,1
Henna,Coleus 'Henna',painted nettle,alt-common-name,med,1
Wasabi,Coleus 'Wasabi',painted nettle,alt-common-name,med,1
Watermelon,Coleus 'Versa Watermelon',painted nettle,alt-common-name,med,1
Teddy Bear,Helianthus annuus 'Teddy Bear',dwarf sunflower,alt-common-name,med,1
Royal Carpet,Lobularia maritima 'Royal Carpet',carpet of snow,cultivar-trade,med,1
Crystal Palace,Lobelia erinus 'Crystal Palace',edging lobelia,alt-common-name,med,1
Rose Lobelia,Lobelia erinus,edging lobelia,alt-common-name,med,1
Sky Blue Lobelia,Lobelia erinus,edging lobelia,alt-common-name,med,1
White Lobelia,Lobelia erinus,edging lobelia,alt-common-name,med,1
Blackie,Ipomoea batatas 'Blackie',ornamental sweet potato,alt-common-name,med,1
Margarita,Ipomoea batatas 'Margarita',ornamental sweet potato,alt-common-name,med,1
Sweet Caroline Bronze,Ipomoea batatas 'Sweet Caroline Bronze',ornamental sweet potato,alt-common-name,med,1
Tricolor,Ipomoea batatas 'Tricolor',ornamental sweet potato,alt-common-name,med,1
Bacopa,Chaenostoma cordatum,sutera,botanical-genus,med,1
Blue Bacopa,Chaenostoma cordatum,sutera,botanical-genus,med,1
Lavender Bacopa,Chaenostoma cordatum,sutera,botanical-genus,med,1
Pink Bacopa,Chaenostoma cordatum,sutera,botanical-genus,med,1
Dragon's Breath,Celosia 'Dragon's Breath',dragons breath,plural-format,med,1
California Poppy (Cream/White),Eschscholzia californica 'Alba',californian poppy,regional,med,1
California Poppy (Rose/Pink Mix),Eschscholzia californica 'Carmine King',californian poppy,regional,med,1
Agastache 'Firebird',Agastache 'Firebird',hummingbird mint,alt-common-name,med,1
Sunset Hyssop,Agastache 'Sunset',hummingbird mint,alt-common-name,med,1
Agave,Agave,century plant,alt-common-name,med,1
Alaska,Leucanthemum × superbum 'Alaska',shasta daisies,plural-format,med,1
Snowcap,Leucanthemum × superbum 'Snowcap',shasta daisies,plural-format,med,1
Emerald Pink,Phlox subulata 'Emerald Pink',moss pink,alt-common-name,med,1
Robert Poore,Phlox paniculata 'Robert Poore',tall phlox,alt-common-name,med,1
Starfire,Phlox paniculata 'Starfire',tall phlox,alt-common-name,med,1
Jeana,Phlox paniculata 'Jeana',summer phlox,alt-common-name,med,1
Cherry Brandy,Rudbeckia hirta 'Cherry Brandy',gloriosa daisy,alt-common-name,med,1
Indian Summer,Rudbeckia hirta 'Indian Summer',gloriosa daisy,alt-common-name,med,1
Bridal Veil,Astilbe × arendsii 'Brautschleier',false spirea,alt-common-name,med,1
Paprika,Achillea millefolium 'Paprika',achilea,misspelling,med,1
Terracotta,Achillea 'Terracotta',achilea,misspelling,med,1
Komachi,Platycodon grandiflorus 'Komachi',chinese bellflower,alt-common-name,med,1
Sentimental Blue,Platycodon grandiflorus 'Sentimental Blue',chinese bellflower,alt-common-name,med,1
June,Hosta 'June',plantain lily,alt-common-name,med,1
Patriot,Hosta 'Patriot',plantain lily,alt-common-name,med,1
Sum and Substance,Hosta 'Sum and Substance',plantain lily,alt-common-name,med,1
Bartzella,Paeonia 'Bartzella',itoh peony,cultivar-trade,med,1
Pink Fire,Dianthus gratianopolitanus 'Pink Fire',cheddar pink,alt-common-name,med,1
Claire Grace,Monarda fistulosa 'Claire Grace',wild bergamot,alt-common-name,med,1
Black Barlow,Aquilegia vulgaris 'Black Barlow',grannys bonnet,alt-common-name,med,1
Clara Curtis,Chrysanthemum 'Clara Curtis',hardy mum,alt-common-name,med,1
Camelot Cream,Digitalis purpurea 'Camelot Cream',foxgloves,plural-format,med,1
Ice Plant,Delosperma,iceplant,plural-format,med,1
Echeveria,Echeveria,hen and chicks,alt-common-name; plural-format,med,1
Icicle,Veronica spicata 'Icicle',spike speedwell,alt-common-name,med,1
Chandelier,Lupinus 'Chandelier',russell lupine,alt-common-name; brand-series,med,1
Noble Maiden,Lupinus 'Noble Maiden',russell lupine,alt-common-name; brand-series,med,1
Crème Brûlée,Coreopsis verticillata 'Crème Brûlée',creme brulee coreopsis,misspelling; plural-format,med,1
Dynamite,Lagerstroemia 'Dynamite',dynamite crape myrtle,cultivar-trade,med,1
Muskogee,Lagerstroemia 'Muskogee',muskogee crape myrtle,cultivar-trade,med,1
Tuscarora,Lagerstroemia 'Tuscarora',tuscarora crape myrtle,cultivar-trade,med,1
Sioux,Lagerstroemia 'Sioux',sioux crape myrtle,cultivar-trade,med,1
Red Rocket,Lagerstroemia 'Red Rocket',red rocket crape myrtle,cultivar-trade,med,1
Black Diamond Red Hot,Lagerstroemia 'Black Diamond Red Hot',black diamond crape myrtle,brand-series,med,1
Diana,Hibiscus syriacus 'Diana',diana rose of sharon,cultivar-trade,med,1
Miss Molly,Buddleia 'Miss Molly',miss molly butterfly bush,cultivar-trade,med,1
English Boxwood,Buxus sempervirens 'Suffruticosa',box hedge,alt-common-name,med,1
Green Velvet,Buxus 'Green Velvet',green velvet boxwood,cultivar-trade,med,1
Green Mountain,Buxus 'Green Mountain',green mountain boxwood,cultivar-trade,med,1
Winter Gem,Buxus microphylla 'Winter Gem',winter gem boxwood,cultivar-trade,med,1
Baby Gem,Buxus microphylla 'Baby Gem',baby gem boxwood,cultivar-trade,med,1
Arnold Promise,Hamamelis × intermedia 'Arnold Promise',arnold promise witch hazel,cultivar-trade,med,1
Jelena,Hamamelis × intermedia 'Jelena',jelena witch hazel,cultivar-trade,med,1
